18/02/2020_'14:08:08', ["'Candi Staton'", "'When You Wake Up Tomorrow (Other)'"]
18/02/2020_'13:57:10', ["'Michael Boothman - Touch'", '"What You Won\'t Do For Love"']
18/02/2020_'13:50:29', ["'The Golden Flamingo Orchestra - Sources - The P Records Soul  Disco Anthology'", '"The Guardian Angel Is Watching Over Us (Club 12\'\' Mix) (Disco)"']
18/02/2020_'13:46:27', ["'Cymande - Choice: A Collection of Classics by Louie Vega'", "'Bra [Dance Ritual Session / Danny Krivit Edit] (Disco)'"]
18/02/2020_'13:42:27', ["'L Holloway'", "'Only A Fool (JM Jackmaster re-edit)'"]
18/02/2020_'13:35:07', ["'The Showfa - A Gospel Excursion Vol. 1'", "'Thankful (The Showfa Rework)'"]
18/02/2020_'13:34:27', ["'Mag Sly bourboule (Jingle)'", "'13:28:13'"]
18/02/2020_'14:38:17', ["'Nils Frahm - All Melody'", "'All Melody'"]
18/02/2020_'14:32:28', ["'Grandbrothers - Open'", "'Bloodflow (Electronic)'"]
18/02/2020_'14:28:35', ["'Black Pumas - Black Pumas'", "'Colors (Alternative)'"]
18/02/2020_'14:25:19', ["'The Undisputed Truth - 04 - Down To Earth'", "'Brother Louie (Soul / Funk / Disco / R)'"]
18/02/2020_'14:21:42', ["'The Teskey Brothers - Run Home Slow'", "'So caught up (Indie Rock)'"]
18/02/2020_'14:17:41', ["'Bongeziwe Mabandla - Mangaliso'", "'Ndofelapha'"]
18/02/2020_'14:14:38', ["'Crown Heights Affair - DJ Spinna De-Lite Dance Delights'", "'Music Is The World (Funk, Soul)'"]
18/02/2020_'14:08:08', ["'Candi Staton'", "'When You Wake Up Tomorrow (Other)'"]
18/02/2020_'13:57:10', ["'Michael Boothman - Touch'", '"What You Won\'t Do For Love"']
18/02/2020_'13:50:29', ["'The Golden Flamingo Orchestra - Sources - The P Records Soul  Disco Anthology'", '"The Guardian Angel Is Watching Over Us (Club 12\'\' Mix) (Disco)"']
18/02/2020_'14:57:41', ["'Taana Gardner'", "'When You Touch Me (Alkalino Ed'"]
18/02/2020_'14:54:14', ["'A.A.L (Against All Logic) - 2012 - 2017'", "'This Old House Is All I Have (Deep House / Nu-Disco)'"]
18/02/2020_'14:50:58', ["'Everything Is Recorded - Everything Is Recorded by Richard Russell'", "'But Not Quite'"]
18/02/2020_'14:46:45', ["'Son Lux - Brighter Wounds'", "'The Fool You Need'"]
18/02/2020_'14:38:17', ["'Nils Frahm - All Melody'", "'All Melody'"]
18/02/2020_'14:32:28', ["'Grandbrothers - Open'", "'Bloodflow (Electronic)'"]
18/02/2020_'14:28:35', ["'Black Pumas - Black Pumas'", "'Colors (Alternative)'"]
18/02/2020_'14:25:19', ["'The Undisputed Truth - 04 - Down To Earth'", "'Brother Louie (Soul / Funk / Disco / R)'"]
18/02/2020_'14:21:42', ["'The Teskey Brothers - Run Home Slow'", "'So caught up (Indie Rock)'"]
18/02/2020_'14:17:41', ["'Bongeziwe Mabandla - Mangaliso'", "'Ndofelapha'"]
